id,LD,TTR,CTTR,RTTR,LogTTR,Uber,LV,VV1,SVV1,CVV1,VV2,NV,AdjV,AdvV,ModV,MTLD,AWL,NumChar,NumSyll,MLC,MLS,MLT,C/S,T/S,C/T,CT/T,DC/C,DC/T,CP/C,CP/T,CN/C,CN/T,VP/T,NumNP,NumVP,NumPP,NPSize,VPSize,PPSize,NumDC,NumCT,CoOrd,NumSBAR,TreeHeight,TRAD_Kincaid,TRAD_Coleman
WRLevel2_2007-08_whatisarock,0.826087,0.64,3.91,5.54,0.89,41.76,0.754386,1.66,25,3.53,0.34,0.53,0.06,0.04,0.11,5.92,0.057971,4.637931034,1.473684,9.37,8.142857,5,1.14,2.14,0.53271028,0.13,0.25,0.13,0.37,0.2,1.37,0.73,1.06,2.42,2.28,0.85,2.17,1.93,2,0.285714286,0.285714286,0.4218,0.28,8.28,8.25,3.46
WRLevel2_2005-06_fireighters,0.746269,0.6,3.84,5.44,0.88,38.42,0.72,1.09,13.09,2.55,0.31,0.65,0.02,0,0.02,5.62,0.014925,5.4,1.576923,20.25,3.846154,2.89,0.28,2,0.14,0.03,0.25,0.03,0,0,1.75,0.25,0.46,1.42,0.92,0.5,1.5,2,2,0.071428571,0.071428571,0,0.07,6.28,10.57,4.11
WRLevel2_2000-01_kids,0.819444,0.72,4.46,6.3,0.92,57.99,0.779661,1,12,2.44,0.28,0.59,0.09,0.02,0.11,8.16,0.027778,4.433333333,1.435484,10.85,12.4,5.84,1.4,2.6,0.538461538,0.23,0.42,0.23,0.42,0.23,2.85,1.53,0.92,4.2,2.4,1.2,2,2.08,2.16,0.6,0.6,0.588,0.6,9.4,9.3,6.36
WRLevel2_2005-06_types,0.763158,0.52,3.5,4.95,0.85,31.16,0.568966,1.66,8.33,2.04,0.11,0.72,0.16,0,0.16,6.98,0.039474,4.655737705,1.655172,45,3.866667,4.28,0.13,1.4,0.092857143,0,0,0,0.5,0.04,5.5,0.52,0.42,1.46,0.6,0.46,1.81,2,2,0,0,0.065,0,5.46,8.74,1.58
WRLevel2_2000-01_girlsget,0.776316,0.68,4.42,6.25,0.91,51.96,0.762712,1,8,2,0.17,0.61,0.08,0.1,0.19,7.47,0.052632,4.633333333,1.333333,10.37,8.428571,5.92,1.14,2,0.57,0.07,0.12,0.07,0.25,0.14,1.37,0.78,0.71,2.71,1.42,0.71,2.36,2.1,2,0.142857143,0.142857143,0.285,0.14,6.71,8.13,1.38
WRLevel2_2002-03_pyramids,0.842857,0.58,3.65,5.17,0.87,35.3,0.610169,1.25,12.5,2.5,0.28,0.51,0.11,0.05,0.17,6.2,0,3.966101695,1.271186,15.8,5.9,4.64,0.5,1.7,0.294117647,0.05,0.4,0.11,0.2,0.05,3.8,1.11,0.58,2.2,1,0.8,1.59,2.1,2,0.1,0.2,0.1,0.2,7,4.53,-0.53
WRLevel2_2000-01_tricktreat,0.866667,0.62,4,5.66,0.89,41.74,0.707692,0.73,8.06,2,0.25,0.5,0.06,0.04,0.11,8.66,0.013333,4.815384615,1.454545,10.12,9.428571,4.76,1.14,2.42,0.47107438,0.17,0.37,0.17,0.5,0.23,1,0.47,1.41,2.71,3.42,0.28,2,2.12,2,0.428571429,0.428571429,0.57,0.28,8.85,10.59,2.79
WRLevel2_2005-06_outofthis,0.692308,0.49,3.18,4.5,0.84,27.68,0.577778,2,16,2.82,0.19,0.7,0.04,0.04,0.09,5.74,0.030769,4.456521739,1.333333,83,2.368421,3.95,0.05,1.1,0.045454545,0,0,0,1,0.04,1,0.04,0.38,1.21,0.42,0.15,2.04,2.12,2,0,0,0.05,0,4.63,4.83,0.47
WRLevel2_2000-01_america,0.826667,0.73,4.66,6.59,0.93,63.06,0.774194,1,8,2,0.21,0.6,0.1,0.02,0.13,8.56,0,4.353846154,1.419355,11.42,12.4,6.66,1.4,2.4,0.583333333,0.25,0.42,0.25,0.14,0.08,2,1.16,0.91,4.4,2.2,1.8,1.68,2.45,2,0.6,0.6,0.196,0.6,10.19,9.04,5.64
WRLevel2_2011-2012_nomore,0.791667,0.62,4.09,5.78,0.89,41.81,0.684211,1.5,36,4.24,0.54,0.29,0.02,0.06,0.09,9.25,0,4.210526316,1.315789,17.39,4.384615,3.34,0.35,1.85,0.189189189,0.07,0.6,0.11,0,0,0.8,0.15,0.88,1.57,1.64,0.14,1.22,1.82,2.5,0.142857143,0.214285714,0,0.21,6.5,4.65,2.87
WRLevel2_2000-01_kidpoet,0.815789,0.64,4.13,5.85,0.9,44.49,0.741935,1.27,17.81,2.98,0.32,0.55,0.06,0.02,0.09,8.76,0.026316,4.234375,1.412698,8.19,9,5.12,1.42,2.28,0.622807018,0.18,0.3,0.18,0.1,0.06,0.8,0.5,1.12,3.71,2.57,1,1.57,2.16,2,0.428571429,0.428571429,0.142,0.42,8.42,6.42,2.44
WRLevel2_2009-10_native,0.837838,0.64,4.13,5.85,0.9,44.49,0.709677,1.14,9.14,2.13,0.17,0.52,0.17,0.08,0.26,6.41,0.054054,4.301587302,1.539683,11.71,10.333333,6.3,0.87,1.62,0.537037037,0.07,0.28,0.15,0.28,0.15,3.14,1.69,0.84,2.75,1.37,0.75,2.04,2,2,0.125,0.25,0.2436,0.25,7.75,5.04,3.16
WRLevel2_2000-01_dollar,0.805195,0.61,4.01,5.67,0.89,40.93,0.612903,1.55,21.77,3.29,0.3,0.43,0.15,0.1,0.26,6.56,0.012987,4.483870968,1.34375,12,9.142857,6,1,2,0.5,0,0,0,0,0,1.85,0.92,1,2,2,1,2.21,1.92,2,0,0,0,0,7.28,8.79,4.49
WRLevel2_2004-05_bitgteh,0.861111,0.47,3,4.24,0.83,25.79,0.5,1.25,6.25,1.76,0.1,0.69,0.15,0.04,0.19,7.23,0,4.580645161,1.3125,13.33,7.875,5.71,0.75,1.75,0.428571429,0,0,0,1,0.42,1.83,0.78,0.64,3,1.12,1.12,1.87,3,2,0,0,0.75,0,6.75,6.97,3.32
WRLevel2_2005-06_spidy,0.753425,0.62,4.19,5.93,0.89,43.48,0.745455,1,9,2.12,0.21,0.6,0.09,0.02,0.12,6.11,0.013699,4.363636364,1.327273,89,3.235294,3.06,0.05,1.7,0.029411765,0,0,0,0,0,3,0.1,0.41,1.23,0.7,0.23,1.66,1.83,2,0,0,0,0,5.29,5.23,0.69
WRLevel2_2000-01_earth,0.846154,0.67,4.39,6.21,0.91,50.62,0.742424,1.13,19.26,3.1,0.36,0.51,0.1,0.02,0.12,6.56,0.025641,4.791044776,1.484848,9.33,9.428571,4.66,1.28,2.57,0.498054475,0.05,0.11,0.05,0.22,0.11,1.44,0.72,1,3.28,2.57,1.14,1.86,1.94,2,0.142857143,0.142857143,0.2816,0.14,8.42,10.15,4.31
WRLevel2_2000-01_family,0.846154,0.61,3.98,5.64,0.88,40.16,0.727273,0.66,5.33,1.63,0.19,0.63,0.02,0.04,0.07,6.63,0,4.727272727,1.358209,9.44,9.428571,5.31,1.28,2.28,0.561403509,0.12,0.22,0.12,0.11,0.06,1.11,0.62,1.06,3.42,2.42,0.85,1.91,2.35,2,0.285714286,0.285714286,0.1408,0.28,8.42,8.01,2.08
WRLevel2_2000-01_govthelps,0.848101,0.65,4.19,5.92,0.9,45.42,0.716418,0.78,8.64,2.07,0.21,0.48,0.11,0.09,0.21,8.86,0.025316,4.880597015,1.41791,7.54,7.444444,5.53,1.57,2.14,0.73364486,0.33,0.45,0.33,0.09,0.06,1.54,1.13,1.4,3.14,3,0.28,1.81,2.14,2,0.714285714,0.714285714,0.1413,0.71,8.71,10.56,3.54
WRLevel2_2000-01_kidgoes,0.868421,0.68,4.42,6.25,0.91,51.96,0.757576,1.08,14.08,2.65,0.28,0.54,0.1,0.04,0.15,7.47,0,4.25,1.41791,8.3,11.166667,5.18,1.42,2.28,0.622807018,0.06,0.1,0.06,0.4,0.25,1,0.62,1,3.85,2.28,1.14,1.51,2.25,2,0.142857143,0.142857143,0.568,0.14,8.28,7.86,3.98
WRLevel2_2003-04_snowisueslf,0.842105,0.71,4.7,6.64,0.92,58.87,0.828125,1.18,15.36,2.77,0.25,0.49,0.11,0.13,0.25,5.99,0,4.59375,1.5,10.87,8,4.57,0.8,1.9,0.421052632,0,0,0,0.25,0.1,1,0.42,0.78,2.1,1.5,0.3,2.09,2.33,2.33,0,0,0.2,0,5.7,6.8,3.25
WRLevel2_2000-01_butterflies,0.88,0.66,4.24,6,0.9,47.62,0.712121,0.87,6.12,1.75,0.16,0.67,0.09,0.04,0.13,7.31,0.013333,4.626865672,1.447761,13.5,9.571429,6.75,0.85,1.71,0.497076023,0.08,0.16,0.08,0.16,0.08,2.33,1.16,0.75,3.14,1.28,1.85,2.22,2.33,2,0.142857143,0.142857143,0.136,0.14,7.42,9.36,3.2
WRLevel2_2000-01_ny,0.87013,0.56,3.64,5.15,0.87,34.33,0.626866,0.92,12.07,2.45,0.3,0.57,0.04,0.04,0.09,6.49,0.012987,4.441176471,1.376812,10.37,9.571429,4.61,1.14,2.57,0.443579767,0.05,0.12,0.05,0.12,0.05,1.25,0.55,1.11,2.85,2.85,1.14,2.15,2.2,2,0.142857143,0.142857143,0.1368,0.14,9.28,7.45,0.6
WRLevel2_2000-01_crowded,0.896104,0.67,4.29,6.07,0.9,48.62,0.724638,1.36,20.45,3.19,0.31,0.45,0.14,0.08,0.22,7.39,0,4.514285714,1.362319,9.11,11.5,5.46,1.5,2.5,0.6,0.13,0.22,0.13,0.22,0.13,1.44,0.86,1.06,3.66,2.66,1.33,1.68,2.5,2,0.333333333,0.333333333,0.33,0.33,8.66,8.65,4.84
WRLevel2_2004-05_weather,0.726027,0.49,3.25,4.61,0.84,28.3,0.622642,3,18,3,0.14,0.47,0.38,0,0.38,4.51,0,4.377358491,1.377358,14.5,3.533333,7.25,0.4,0.8,0.5,0.08,0.16,0.08,0.16,0.08,0.83,0.41,0.66,1.33,0.53,0.4,1.75,2.37,2,0.066666667,0.066666667,0.064,0.06,5.33,6.11,-0.09
WRLevel2_2010-11_holidaygiving,0.846154,0.68,4.54,6.43,0.91,53.67,0.742424,1.07,15.07,2.74,0.29,0.52,0.08,0.06,0.14,7.8,0.012821,4.318181818,1.313433,8.69,7.333333,5.43,1.25,2,0.625,0.31,0.5,0.31,0.1,0.06,1,0.62,1.06,2.87,2.12,0.75,1.82,2.17,2,0.625,0.625,0.125,0.62,8.62,5.76,1.93
WRLevel2_2000-01_kidsraise,0.802469,0.69,4.64,6.57,0.91,55.73,0.738462,1,15,2.73,0.31,0.54,0.04,0.06,0.1,9.45,0.024691,4.712121212,1.492537,12.71,11,5.56,1,2.28,0.438596491,0,0,0,0.28,0.12,0.85,0.37,1.31,2.57,3,0.85,2.27,2.14,2,0,0,0.28,0.14,8.71,8.1,3.67
WRLevel2_2006-07_native,0.662791,0.56,3.97,5.62,0.87,37.05,0.736842,1.28,11.57,2.4,0.2,0.58,0.18,0.02,0.2,6.73,0.023256,4.06779661,1.315789,33,4.071429,4.95,0.21,1.42,0.147887324,0,0,0,0.33,0.05,1.66,0.25,0.55,1.57,0.78,0.28,1.86,2,2,0,0,0.0693,0,5.78,3.8,-0.8
WRLevel2_2000-01_crows,0.844156,0.65,4.32,6.11,0.9,47.16,0.692308,1.09,13.09,2.55,0.23,0.58,0.07,0.03,0.11,6.77,0,4.575757576,1.38806,8.69,8.25,4.57,1.11,2.11,0.526066351,0,0,0,0.1,0.05,0.6,0.31,1,2.66,2.11,1,1.87,2.05,2.11,0,0,0.111,0,6.77,7.31,1.53
WRLevel2_2005-06_following,0.810127,0.58,3.98,5.62,0.88,38.37,0.6875,1.1,12.1,2.45,0.27,0.67,0,0.02,0.02,6.3,0,3.765625,1.296875,30.66,4.571429,4.59,0.21,1.42,0.147887324,0.05,0.33,0.05,0.66,0.1,4,0.6,0.45,1.92,0.64,0.78,1.59,2.11,1.9,0.071428571,0.071428571,0.1386,0.07,5.92,2.29,-0.13
WRLevel2_2007-08_giving,0.851852,0.62,4.19,5.93,0.89,43.48,0.695652,1.08,14.08,2.65,0.26,0.61,0.1,0.02,0.12,7.97,0.012346,5.098591549,1.557143,9.88,9.857143,5.23,1.12,2.12,0.528301887,0.05,0.11,0.05,0.22,0.11,1.44,0.76,0.82,3.37,1.75,1,1.96,2.14,2,0.125,0.125,0.2464,0.12,7.62,10.63,4.57
WRLevel2_2007-08_travelcolorad,0.681818,0.47,3.36,4.75,0.83,28.37,0.6,1.25,6.25,1.76,0.1,0.83,0.04,0.02,0.06,6.21,0,4.583333333,1.75,51,4,5.66,0.13,1.2,0.108333333,0,0,0,0,0,4,0.44,0.38,1.86,0.46,0.33,1.85,1.71,2,0,0,0,0,5.4,5.81,3.55
WRLevel2_2010-11_makinghis,0.835443,0.59,4.05,5.73,0.88,39.74,0.651515,1.2,14.4,2.68,0.25,0.57,0.12,0.02,0.14,6.3,0.012658,4.606060606,1.477612,10.22,6.7,3.68,0.75,2.08,0.360576923,0.08,0.22,0.08,0,0,1,0.36,0.64,1.91,1.33,0.33,2.17,1.87,2,0.166666667,0.166666667,0,0.16,6.25,6.87,1.61
WRLevel2_2005-06_columbus,0.739726,0.57,3.87,5.48,0.87,36.91,0.685185,1.3,16.89,2.9,0.27,0.63,0.08,0,0.08,6.18,0,4.962962963,1.581818,30,3,4.5,0.16,1.11,0.144144144,0.05,0.33,0.05,0,0,1.66,0.25,0.55,1.33,0.61,0.16,1.91,1.81,2,0.055555556,0.055555556,0,0.05,4.77,7.33,2.79
WRLevel2_2007-08_mandarin,0.898734,0.63,4.22,5.96,0.89,44.35,0.661972,1.16,16.33,2.85,0.31,0.46,0.15,0.02,0.17,6.84,0.037975,4.633802817,1.464789,14.66,8.875,3.66,0.66,2.66,0.248120301,0.08,0.33,0.08,0,0,2.16,0.54,0.83,2.66,2.22,1,1.54,2.35,2,0.222222222,0.222222222,0,0.22,8.77,7.77,2.91
WRLevel2_2008-09_whale,0.876543,0.61,4.09,5.79,0.89,41.11,0.676056,1.11,21.23,3.25,0.35,0.49,0.07,0.07,0.15,8.05,0.012346,4.464788732,1.28169,11.25,8.875,4.73,0.88,2.11,0.417061611,0.21,0.5,0.21,0.25,0.1,0.75,0.31,1.05,2.55,2.22,0.55,1.86,2.04,2,0.444444444,0.444444444,0.22,0.44,7.66,7.62,2.91
WRLevel2_2000-01_pgrounds,0.876543,0.57,3.87,5.48,0.87,36.91,0.676056,1,11,2.34,0.21,0.53,0.17,0.03,0.21,6.18,0.037037,5.084507042,1.450704,7.5,7.1,4.5,1.2,2,0.6,0.1,0.16,0.1,0.16,0.1,1.16,0.7,0.75,2.7,1.5,0.9,1.92,2.13,2,0.2,0.2,0.192,0.2,7.2,9.75,2.13
WRLevel2_2006-07_pumpfav,0.597826,0.46,3.41,4.83,0.83,28.7,0.581818,1,6,1.73,0.12,0.72,0.12,0.02,0.14,5.89,0.032609,4.147540984,1.428571,53.5,3.4375,5.09,0.12,1.31,0.091603053,0,0,0,0,0,4,0.38,0.47,1.81,0.62,0.18,1.79,2.1,2,0,0,0,0,5.43,4.46,-1.15
WRLevel2_2008-09_lostlady,0.827586,0.61,4.23,5.98,0.89,42.74,0.722222,1.21,27.84,3.73,0.42,0.44,0.03,0.07,0.11,6.42,0.034483,4.708333333,1.493151,7.83,7.3,4.27,1.33,2.44,0.545081967,0.09,0.16,0.09,0.08,0.04,0.41,0.22,1.31,2.55,3.22,0.55,1.56,2.13,2,0.222222222,0.222222222,0.1064,0.22,8,10.26,4.37
WRLevel2_2008-09_namethatsymbnol,0.755556,0.66,4.78,6.76,0.91,52.57,0.779412,0.8,6.4,1.78,0.17,0.58,0.1,0.04,0.15,5.74,0.055556,4.441176471,1.441176,14.85,4.25,5.47,0.5,1.35,0.37037037,0.1,0.28,0.1,0,0,3.57,1.31,0.78,2.35,1.07,0.35,1.54,1.93,2,0.142857143,0.142857143,0,0.14,5.78,6.02,3.88
WRLevel2_2000-01_aplace,0.903614,0.6,4.07,5.76,0.88,40.41,0.626667,1.4,19.6,3.13,0.28,0.54,0.1,0.06,0.16,7.05,0,4.4,1.493333,10.11,9.375,4.33,1.12,2.62,0.427480916,0.04,0.11,0.04,0.55,0.23,1.55,0.66,0.95,2.75,2.5,1.12,1.77,2.04,2,0.125,0.125,0.616,0.12,8,7.05,4.52
WRLevel2_2000-01_arctic,0.793478,0.58,4.07,5.75,0.88,38.79,0.684932,1.18,15.36,2.77,0.23,0.65,0.09,0.01,0.1,7.55,0.01087,4.68,1.623377,12.25,10.571429,6.12,1.14,2.28,0.5,0.06,0.12,0.06,0,0,2.5,1.25,0.87,3.71,2,1.14,2.15,2.21,2,0.142857143,0.142857143,0,0.14,8.42,10.05,5.53
WRLevel2_2000-01_volcano,0.879518,0.58,3.98,5.62,0.88,38.37,0.657534,1.15,17.3,2.94,0.3,0.52,0.1,0.08,0.18,6.3,0,4.767123288,1.589041,8.36,9.125,4.59,1.22,2.22,0.54954955,0.2,0.36,0.2,0.27,0.15,0.45,0.25,0.9,2.33,2,0.88,2.04,2.27,2,0.444444444,0.444444444,0.3294,0.33,7.66,7.91,3.21
WRLevel2_2008-09_farmfresh,0.827586,0.64,4.47,6.32,0.9,47.65,0.722222,1.16,16.33,2.85,0.25,0.52,0.14,0.05,0.2,8.55,0,4.684931507,1.383562,8,8.111111,5.05,1.33,2.11,0.630331754,0.1,0.16,0.1,0.16,0.1,0.91,0.57,0.89,2.77,1.88,0.88,1.92,2.11,2,0.222222222,0.222222222,0.2128,0.22,7.44,8.94,2.61
WRLevel2_2000-01_huamei,0.742268,0.58,4.3,6.09,0.88,41.22,0.694444,1.11,11.11,2.35,0.15,0.7,0.1,0.01,0.12,5.89,0.010309,4.243243243,1.453333,13.37,6.545455,6.29,0.72,1.54,0.467532468,0.05,0.12,0.05,0.12,0.05,2.37,1.11,0.76,2.81,1.18,0.45,1.87,2.23,2,0.090909091,0.090909091,0.0864,0.09,6.18,5.8,2.72
WRLevel2_2007-08_howplastic,0.791209,0.68,4.94,6.99,0.91,57.73,0.75,1.08,28.16,3.75,0.43,0.45,0.03,0.06,0.1,6.98,0.043956,4.847222222,1.561644,11.44,6,4.9,0.75,1.75,0.428571429,0.09,0.22,0.09,0.11,0.04,0.88,0.38,1.14,2.25,2,0.41,1.7,2,2.2,0.166666667,0.166666667,0.0825,0.25,6.66,9.06,3.94
WRLevel2_2006-07_frogs,0.729412,0.57,4.1,5.8,0.88,38.93,0.709677,0.88,7.11,1.88,0.16,0.66,0.1,0.02,0.12,6.1,0.047059,4.26984127,1.318182,20,4,4.16,0.31,1.5,0.206666667,0,0,0,0.6,0.12,1.2,0.25,0.45,1.5,0.68,0.37,1.83,2,2,0,0,0.186,0,5.25,7.93,0.56
WRLevel2_2007-08_meetpoet,0.809524,0.51,3.51,4.97,0.85,31.06,0.558824,1.42,28.57,3.77,0.47,0.42,0.04,0.04,0.09,5.72,0.011905,4.171428571,1.294118,9.3,6.8,3.87,1,2.4,0.416666667,0.16,0.3,0.12,0.2,0.08,0.3,0.12,0.87,2.29,2.1,0.4,1.91,2,1.75,0.4,0.3,0.2,0.3,6.9,5.14,-0.34
WRLevel2_2008-09_safety,0.866667,0.7,4.88,6.9,0.92,58.91,0.782051,0.93,13.06,2.55,0.26,0.56,0.07,0.05,0.13,7.48,0.022222,4.653846154,1.525641,12.12,9.75,5.7,1,2.12,0.471698113,0.17,0.37,0.17,0.5,0.23,0.75,0.35,1.41,2.5,3,0.87,2.29,2.2,2,0.375,0.375,0.5,0.37,8.25,8.54,5.92
WRLevel2_2000-01_hornets,0.879121,0.71,5,7.07,0.92,62.47,0.775,1,16,2.82,0.28,0.54,0.1,0.07,0.17,10.35,0,4.7625,1.469136,12.25,13.5,5.44,1.14,2.57,0.443579767,0.16,0.37,0.16,0.12,0.05,2,0.88,0.94,4,2.42,1,1.89,2.7,2,0.428571429,0.428571429,0.1368,0.42,8.28,9.84,5.38
WRLevel2_2003-04_whiskss,0.675325,0.66,4.83,6.83,0.91,53.41,0.807692,0.84,9.3,2.15,0.2,0.64,0.09,0.01,0.11,6.38,0.051948,4.320754717,1.186441,15,3.785714,5.25,0.38,1.11,0.342342342,0.15,0.57,0.2,0,0,1,0.35,0.9,1.44,1,0.27,1.88,1.88,2,0.166666667,0.222222222,0,0.22,5.33,4.67,-1.93
WRLevel2_2006-07_marvelous,0.712766,0.42,3.12,4.42,0.81,25.68,0.522388,1.28,11.57,2.4,0.17,0.66,0.11,0.03,0.15,5.45,0.010638,4,1.328358,27,4.466667,4,0.26,1.8,0.144444444,0.03,0.25,0.03,0,0,2.75,0.4,0.4,1.6,0.73,0.4,1.62,1.63,2,0.066666667,0.066666667,0,0.06,6.33,4.06,-0.55
WRLevel2_2009-10_giantpump,0.802198,0.61,4.48,6.34,0.89,45.16,0.739726,1.33,26.66,3.65,0.35,0.52,0.07,0.05,0.12,6.38,0.010989,4.520547945,1.342466,7.5,5.615385,3.88,1.07,2.07,0.516908213,0.07,0.14,0.07,0,0,0.85,0.44,0.77,2.38,1.61,0.38,1.77,2.09,2,0.153846154,0.153846154,0,0.15,6.76,5.61,1.47
WRLevel2_2009-10_goodnews,0.836957,0.68,4.94,6.99,0.91,57.73,0.766234,1.33,32,4,0.4,0.4,0.11,0.06,0.18,9.13,0.032609,4.922077922,1.428571,9.36,6.416667,4.9,1,1.9,0.526315789,0.09,0.18,0.09,0.18,0.09,0.81,0.42,1.33,1.72,2.54,0.45,1.94,2.17,2,0.181818182,0.181818182,0.18,0.27,7.27,9.77,6.05
WRLevel2_2011-2012_sharemushc,0.840909,0.65,4.64,6.56,0.9,50.06,0.72973,0.93,14.06,2.65,0.25,0.5,0.06,0.08,0.15,6.86,0.011364,4.756756757,1.445946,7.76,6.727273,4.39,1.18,2.09,0.564593301,0.13,0.23,0.13,0.07,0.04,0.53,0.3,1.13,2.36,2.36,0.36,1.61,2.15,2,0.272727273,0.272727273,0.0826,0.36,7.45,8.03,1.86
WRLevel2_2000-01_brd,0.866667,0.56,3.97,5.62,0.87,37.05,0.628205,1.26,24.06,3.46,0.33,0.55,0.05,0.05,0.1,7.62,0.022222,4.474358974,1.320988,6.6,9.75,4.95,1.66,2.22,0.747747748,0.35,0.46,0.35,0.06,0.05,0.73,0.55,1.1,2.88,2.44,0.77,1.69,1.86,2,0.777777778,0.777777778,0.0996,0.88,9.22,9.54,2.68
WRLevel2_2003-04_firest,0.710526,0.52,3.69,5.22,0.85,32.79,0.592593,1.16,8.16,2.02,0.11,0.85,0.03,0,0.03,5.5,0,5.240740741,1.62069,49.5,3.375,6.18,0.12,1,0.12,0,0,0,0,0,2.5,0.31,0.43,1.43,0.43,0.31,2.56,2.14,2,0,0,0,0.06,5.06,8.75,3.92
WRLevel2_2003-04_howbig,0.663265,0.53,4.16,5.88,0.86,36.65,0.676923,1,11,2.34,0.22,0.59,0.08,0.08,0.16,4.89,0,4.692307692,1.246154,24.4,2.68,6.1,0.2,0.8,0.25,0.05,0.8,0.2,0.4,0.1,1,0.25,0.7,1.2,0.56,0.16,2.26,1.64,2,0.04,0.16,0.08,0.16,4.44,5.78,2.34
