id,AoA_Bird_Lem,AoA_Bristol_Lem,AoA_Cort_Lem,AoA_Kup,AoA_Kup_Lem,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprPerProPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprProperNounsPerNoun,DISC_globalArgumentOverlapCount,DISC_globalContentWordOverlapCount,DISC_globalNounOverlapCount,DISC_globalStemOverlapCount,DISC_localArgumentOverlapCount,DISC_localContentWordOverlapCount,DISC_localNounOverlapCount,DISC_localStemOverlapCount,MRCAoA,MRCColMeaningfulness,MRCConcreteness,MRCFamiliarity,MRCImageability,MRCPavioMeaningfulness,POS_adjVar,POS_advVar,POS_correctedVV1,POS_modVar,POS_nounVar,POS_numAdjectives,POS_numAdverbs,POS_numConjunct,POS_numDeterminers,POS_numFunctionWords,POS_numLexicals,POS_numModals,POS_numNouns,POS_numPerPronouns,POS_numPrepositions,POS_numPronouns,POS_numProperNouns,POS_numVerbs,POS_numVerbsVB,POS_numVerbsVBD,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_numWhPronouns,POS_squaredVerbVar1,POS_verbVar1,POS_verbVar2,SYN_CNPerClause,SYN_CNPerTunit,SYN_ComplexTunitRatio,SYN_CoordPerClause,SYN_CoordPerTunit,SYN_DependentClauseRatio,SYN_DependentClausesPerTunit,SYN_MLC,SYN_MLT,SYN_TunitComplexityRatio,SYN_VPPerTunit,SYN_avgParseTreeHeightPerSen,SYN_avgSentenceLength,SYN_numClausesPerSen,SYN_numConjPPerSen,SYN_numNPSize,SYN_numNPsPerSen,SYN_numPPSize,SYN_numPPsPerSen,SYN_numRRCsPerSen,SYN_numSBARsPerSen,SYN_numSentences,SYN_numSubtreesPerSen,SYN_numTunitsPerSen,SYN_numVPSize,SYN_numVPsPerSen,SYN_numWHPsPerSen,TRAD_ARI,TRAD_Coleman,TRAD_FOG,TRAD_FORCAST,TRAD_Flesch,TRAD_Kincaid,TRAD_LIX,TRAD_SMOG,TRAD_numChars,TRAD_numSyll,WN_numHypernyms,WN_numHyponyms,WN_numSenses,Word_BilogTTR,Word_CTTR,Word_MTLD,Word_RTTR,Word_TTR,Word_UberIndex,Word_numWords,numConnectives,numDiscConnectives,numNonDiscConnectives,numCompConnectives,numExpConnectives,numContConnectives,numTempConnectives,PRONOUNS_NOUNS_RATIO_INDEX,AVG_PRONOUNS_PER_SENT_INDEX,AVG_PRONOUNS_PER_WORD_INDEX,AVG_PERSONAL_PRONOUNS_PER_SENT_INDEX,AVG_PERSONAL_PRONOUNS_PER_WORD_INDEX,AVG_POSSESIVE_PRONOUNS_PER_SENT_INDEX,AVG_PESSESIVE_PRONOUNS_PER_WORD_INDEX,AVG_DEFINITE_ARTICLES_PER_SENT_INDEX,AVG_DEFINITE_ARTICLES_PER_WORD_INDEX,PROPER_NAMES_WORD_RATIO_INDEX,WORD_OVERLAP,LEMMA_OVERLAP,NOUN_AND_PRONOUN_OVERLAP_BY_LEMMA,NOUN_AND_PRONOUN_OVERLAP_BY_ORTH,S_2_S,S_2_O,S_2_N,O_2_S,O_2_O,O_2_N,N_2_S,N_2_O,PROPORTION_INDEF_NP_REFCHAIN,PROPORTION_DEF_NP_REFCHAIN,PROPORTION_PERSONAL_PRONOUNS_REFCHAIN,PROPORTION_DEMONSTRATIVE_DETERMINERS_REFCHAIN,PROPORTION_REFLEXIVE_PRONOUNS_REFCHAIN,PROPORTION_PROPER_NOUNS_REFCHAIN,AVG_LEN_REFCHAIN
Ele-Txt-WNL Barack Obama-ele,4.2,1.11,2.78,4.29,5.19,1.05,0.05,0.05,1.05,0.35,0.01,0.23,1.41,0.07,0.4,3.64,11.7,2.23,3.88,0.41,1.29,0.17,0.41,0.31,2.47,2.22,4.72,2.56,0.28,0.11,0.06,6.95,0.18,0.5,0.07,0.04,0.04,0.08,0.38,0.66,0,0.33,0.05,0.1,0.09,0.13,0.2,0.05,0.1,0,0.01,0.02,0.01,0.01,96.8,1.53,0.3,2.17,1.77,0.56,0.25,0.2,0.53,0.43,9.58,7.79,0.81,1.64,11.88,22,2.29,0,1.69,5.94,2.03,1.82,0,1.17,17,65.41,2.82,2.2,4.64,0.41,10.06,10.06,14.41,17.45,70.25,8.19,39.12,13.4,4.66,1.38,0,0.87,6.59,0.88,6.91,6.96,9.77,0.5,51.42,374,1.64,0.52,1.11,0.05,0.29,0.05,0.11,0.174757282,1.058823529,0.048,1.058823529,0.048,0,0,1.058823529,0.048,0.130666667,0.157333333,0.2,0.026666667,0.013333333,0.076923077,0,0.923076923,0,0,1,0.631578947,0.368421053,0.181818182,0.363636364,0.409090909,0,0,0.227272727,4
Ele-Txt-WNL Basic phone logs-ele,4.16,1.35,2.67,3.88,5.17,1.29,0.07,0.05,0.96,0.14,0,0.2,1.11,0.06,0.15,8.74,14.96,4.4,8.81,0.74,1.22,0.29,0.74,0.25,2.38,2.08,4.44,2.29,0.17,0.11,0.05,7.54,0.17,0.55,0.06,0.03,0.03,0.13,0.42,0.6,0,0.33,0.05,0.13,0.08,0.05,0.16,0.03,0.09,0,0.01,0.01,0,0.01,113.95,1.62,0.26,1.89,1.75,0.5,0.11,0.1,0.52,0.48,8.89,8.2,0.92,1.35,10.4,19.44,2.18,0,1.8,5.37,2.09,1.88,0,1.22,27,57.11,2.37,2.28,3.22,0.59,9.94,11.07,12.45,17.86,70.39,7.63,39.91,11.99,4.86,1.41,0,0.06,6.95,0.85,6.6,7.8,9.33,0.4,43.71,525,1,0.37,0.62,0.07,0.11,0,0.18,0.176870748,0.962962963,0.049429658,0.962962963,0.049429658,0,0,1.296296296,0.066539924,0.066539924,0.178707224,0.237642586,0.053231939,0.024714829,0.111111111,0.044444444,0.844444444,0.054054054,0.027027027,0.918918919,0.555555556,0.444444444,0.172413793,0.413793103,0.362068966,0,0,0.051724138,4.833333333
Ele-Txt-WNL Billionaires-ele,3.67,1.35,2.89,3.71,5.06,1.05,0.06,0.02,0.4,0.22,0.01,0.13,0.62,0.03,0.18,4.2,21.4,2.04,4.25,0.27,1.14,0.2,0.27,0.31,2.32,2.22,4.4,2.45,0.32,0.13,0.07,9.89,0.2,0.5,0.08,0.04,0.04,0.11,0.39,0.65,0,0.32,0.02,0.13,0.05,0.06,0.19,0.02,0.02,0.01,0.02,0.05,0.05,0.01,196,1.75,0.29,2.3,1.6,0.21,0.17,0.12,0.33,0.23,10.19,7.07,0.69,1.24,9.72,17.32,1.7,0.02,1.91,4.17,1.97,1.8,0,0.57,40,50.45,2.45,2.22,3.05,0.32,7.54,8.65,9.55,18.78,83.94,5.46,32.51,9.59,4.47,1.26,0,0,6.83,0.87,8.38,7.72,11.85,0.45,53.61,693,1.02,0.35,0.67,0.07,0.2,0.05,0.02,0.083333333,0.4,0.023054755,0.4,0.023054755,0,0,1.05,0.060518732,0.096541787,0.149855908,0.195965418,0.018731988,0.014409222,0.043478261,0,0.956521739,0,0.045454545,0.954545455,0.75,0.25,0.203703704,0.296296296,0.240740741,0.018518519,0,0.037037037,3
Ele-Txt-WNL Black Friday-ele,4.12,1.03,3.08,3.77,4.91,0.51,0.03,0.07,1.04,0.21,0.01,0.37,1.26,0.09,0.26,6.04,12.97,1.97,6.04,0.43,0.7,0.14,0.43,0.16,2.53,2.21,4.56,2.5,0.18,0.12,0.11,10.1,0.24,0.42,0.08,0.07,0.02,0.08,0.42,0.65,0,0.28,0.08,0.12,0.11,0.07,0.21,0.04,0.11,0,0.01,0.02,0,0,204.16,1.94,0.32,1.28,1.03,0.31,0.06,0.05,0.39,0.31,8.51,6.84,0.8,1.31,9.36,15.36,1.8,0,1.62,4.09,2.05,1.34,0,0.78,41,45.41,2.24,2.26,2.95,0.24,5.22,6.94,7.81,19.06,95.54,3.23,27.78,8.33,4.24,1.15,0,0.04,6.78,0.86,7.46,7.06,10.55,0.42,47.97,630,0.92,0.43,0.48,0.12,0.02,0.14,0.14,0.307142857,1.048780488,0.0681458,1.048780488,0.0681458,0,0,0.512195122,0.033280507,0.136291601,0.160063391,0.183835182,0.042789223,0.033280507,0.103448276,0.017241379,0.879310345,0.090909091,0,0.909090909,0.654761905,0.345238095,0.105263158,0.355263158,0.5,0,0,0.197368421,4.470588235
Ele-Txt-WNL Bogus Allergy-ele,3.94,0.84,2.63,4.05,5.2,0.62,0.03,0.03,0.74,0.07,0,0.14,0.81,0.04,0.04,7.92,35.62,5.25,8.37,0.77,2.85,0.62,0.77,0.23,2.42,2.15,4.45,2.32,0.2,0.09,0.11,9,0.21,0.46,0.06,0.07,0.04,0.11,0.4,0.66,0.01,0.3,0.04,0.1,0.05,0.01,0.21,0.04,0.01,0.01,0.01,0.08,0.04,0.01,162.22,1.67,0.3,1.52,1.81,0.67,0.14,0.17,0.52,0.62,7.35,8.73,1.18,1.85,11.92,20.7,2.81,0,1.79,5.48,2.07,1.48,0,1.55,27,61.44,2.37,2.2,4.4,0.51,9.57,9.55,13.12,17.91,68.72,8.36,39.67,12.39,4.57,1.4,0,0.01,6.07,0.85,6.66,8.06,9.43,0.39,43.54,559,1.51,0.85,0.66,0.18,0.25,0.29,0.11,0.134228188,0.740740741,0.035714286,0.740740741,0.035714286,0,0,0.62962963,0.030357143,0.021428571,0.173214286,0.251785714,0.067857143,0.041071429,0.0625,0,0.9375,0.035714286,0.071428571,0.892857143,0.688172043,0.311827957,0.243902439,0.195121951,0.390243902,0.048780488,0,0,2.733333333
Ele-Txt-WNL Bright Future-ele,3.66,1.28,2.65,4.25,5.25,0.97,0.06,0.02,0.35,0.21,0.01,0.11,0.57,0.03,0.31,4.3,14.83,2.52,4.33,0.4,1.21,0.23,0.4,0.3,2.42,2.25,4.64,2.57,0.41,0.16,0.08,8.59,0.25,0.5,0.11,0.05,0.02,0.11,0.38,0.67,0.01,0.33,0.02,0.12,0.04,0.1,0.16,0.03,0.01,0.01,0,0.04,0.04,0,147.87,1.62,0.22,2.8,1.83,0.25,0.17,0.11,0.38,0.25,10.52,6.88,0.65,1.17,9.9,17.04,1.61,0.02,2.08,4.04,2.03,1.45,0,0.66,42,49.26,2.47,2.23,2.9,0.35,8.99,10.78,11.65,17.89,69.85,7.27,37.95,11.44,4.85,1.43,0,0.01,7.01,0.87,8.11,7.66,11.47,0.42,51.02,716,1.07,0.35,0.71,0.09,0.11,0.07,0.07,0.073170732,0.357142857,0.020920502,0.357142857,0.020920502,0,0,0.976190476,0.057182706,0.133891213,0.149232915,0.19665272,0.027894003,0.016736402,0.061538462,0,0.938461538,0,0.029411765,0.970588235,0.653465347,0.346534653,0.109090909,0.509090909,0.218181818,0,0,0.254545455,2.894736842
Ele-Txt-WNL Brown bears-ele,3.96,1.22,2.84,4.16,5.44,0.75,0.04,0.03,0.65,0.09,0,0.13,0.75,0.04,0.25,5.93,19.31,4.84,6,0.43,1.93,0.31,0.46,0.29,2.1,1.83,4.04,2.14,0.17,0.13,0.08,8.89,0.21,0.5,0.08,0.05,0.05,0.08,0.38,0.67,0.01,0.34,0.03,0.13,0.04,0.08,0.18,0.04,0.02,0.02,0,0.04,0.03,0,158.33,1.66,0.26,2.77,2.32,0.36,0.28,0.23,0.43,0.36,9.41,7.88,0.83,1.42,11.09,19.71,2.09,0,1.69,5.53,2.01,2,0,0.96,32,58.5,2.5,2.17,3.56,0.25,10.19,10.94,12.37,18.01,70.23,7.86,40.11,11.87,4.83,1.4,0,0,5.77,0.86,7.23,8.01,10.23,0.4,46.27,631,1.25,0.43,0.81,0.09,0.18,0.15,0,0.114130435,0.65625,0.033227848,0.65625,0.033227848,0,0,0.75,0.037974684,0.101265823,0.174050633,0.208860759,0.039556962,0.036392405,0.071428571,0,0.928571429,0.03125,0.03125,0.9375,0.617977528,0.382022472,0.117647059,0.588235294,0.31372549,0,0,0.333333333,3.642857143
Ele-Txt-WNL Calais Migrants-ele,4.03,0.85,2.83,3.8,4.82,0.84,0.05,0.06,1.02,0.17,0.01,0.31,1.19,0.08,0.21,6.54,17.71,3.56,6.73,0.5,0.91,0.19,0.54,0.21,2.54,2.2,4.63,2.5,0.19,0.11,0.09,10.17,0.21,0.44,0.07,0.06,0.03,0.11,0.44,0.61,0.01,0.27,0.07,0.11,0.09,0.05,0.2,0.05,0.02,0.01,0,0.05,0.04,0,207.24,1.68,0.31,1.82,1.2,0.19,0.2,0.13,0.28,0.18,9,5.95,0.66,1.26,10.36,16.43,1.82,0.02,1.61,4.56,2,1.34,0,0.56,46,49.04,2.76,2.12,3.5,0.15,5.92,7.23,8.5,18.99,94.7,3.66,30.53,8.77,4.26,1.15,0,0.15,7.13,0.85,7.48,6.5,10.58,0.38,46.01,756,1.13,0.5,0.63,0.15,0.08,0.17,0.08,0.273255814,1.02173913,0.062087186,1.02173913,0.062087186,0,0,0.847826087,0.051519155,0.107001321,0.162483487,0.211360634,0.047556143,0.027741083,0.146666667,0,0.853333333,0,0,1,0.722772277,0.277227723,0.125,0.34375,0.489583333,0,0,0.1875,4
Ele-Txt-WNL Can the US-ele,3.73,1.22,2.84,3.86,5.11,0.4,0.02,0.04,0.67,0.13,0,0.18,0.81,0.05,0.29,6.4,13.51,3.59,6.67,0.45,1.21,0.29,0.45,0.19,2.06,1.84,4.08,2.16,0.09,0.13,0.1,8.17,0.23,0.47,0.09,0.06,0.03,0.07,0.38,0.68,0.01,0.32,0.05,0.12,0.06,0.09,0.19,0.04,0.01,0.03,0,0.05,0.04,0,133.56,1.46,0.27,1.42,0.86,0.19,0.22,0.13,0.28,0.17,10.01,6.09,0.6,1.19,9.43,15.97,1.59,0,1.74,4.08,2.09,1.43,0,0.48,37,46.81,2.62,2.3,3.13,0.18,7.56,9.69,10.37,18.16,71.06,6.74,33.43,10.52,4.7,1.44,0,0.02,6.18,0.87,7.88,8.28,11.14,0.45,52.23,591,0.94,0.29,0.64,0.05,0.1,0.08,0.05,0.158227848,0.675675676,0.04222973,0.675675676,0.04222973,0,0,0.405405405,0.025337838,0.113175676,0.158783784,0.20777027,0.04222973,0.023648649,0.06557377,0.016393443,0.918032787,0,0.142857143,0.857142857,0.69047619,0.30952381,0.212765957,0.404255319,0.425531915,0,0,0.29787234,2.764705882
Ele-Txt-WNL Canadian Pair-ele,3.94,1.07,2.77,3.92,4.84,0.58,0.04,0.07,0.9,0.19,0.01,0.31,1.09,0.08,0.34,4.8,9.85,2.7,4.8,0.41,0.75,0.24,0.41,0.28,2.67,2.27,4.72,2.55,0.28,0.13,0.1,8.96,0.23,0.45,0.08,0.06,0.04,0.12,0.44,0.62,0,0.28,0.07,0.11,0.09,0.09,0.19,0.02,0.11,0.01,0.01,0,0.02,0,160.65,1.7,0.3,1.2,0.84,0.21,0.13,0.09,0.27,0.19,8.75,6.13,0.7,1.08,8.58,14.51,1.65,0,1.77,3.95,2,1.31,0,0.46,41,42.26,2.36,2.3,2.56,0.17,5.72,7.89,10.38,17.99,82.24,4.91,29.83,10.54,4.43,1.32,0,0.07,7.78,0.86,7.13,6.97,10.08,0.41,46.2,595,1,0.41,0.58,0.12,0.14,0.02,0.12,0.26056338,0.902439024,0.062080537,0.853658537,0.058724832,0,0,0.585365854,0.040268456,0.11409396,0.194630872,0.244966443,0.048657718,0.031879195,0.147540984,0,0.852459016,0,0.038461538,0.961538462,0.705882353,0.294117647,0.1375,0.3875,0.4,0,0.025,0.2125,6.153846154
Ele-Txt-WNL Castaway-ele,4,1.15,2.88,3.85,4.83,0.93,0.05,0.06,1.1,0.17,0,0.26,1.27,0.07,0.23,6.31,15.27,3.31,6.31,0.68,1.34,0.37,0.68,0.25,2.68,2.47,4.75,2.7,0.31,0.14,0.08,8.1,0.22,0.47,0.09,0.05,0.03,0.11,0.41,0.63,0.01,0.3,0.06,0.11,0.09,0.07,0.19,0.03,0.08,0.02,0,0.01,0.01,0.01,131.36,1.54,0.28,1.66,1.47,0.44,0.19,0.17,0.48,0.42,9.06,8.02,0.88,1.54,10.62,19.37,2.13,0,1.78,5.06,2,1.79,0,1.1,29,56.89,2.41,2.3,3.72,0.41,7.25,7.6,9.74,18.91,86.96,5.37,34.64,9.49,4.27,1.21,0,0,7.39,0.86,7.24,7.71,10.25,0.43,47.81,562,1.41,0.58,0.82,0.06,0.17,0.17,0.17,0.226950355,1.103448276,0.056838366,1.103448276,0.056838366,0,0,0.931034483,0.047957371,0.088809947,0.172291297,0.238010657,0.058614565,0.035523979,0.1,0,0.9,0.076923077,0.115384615,0.807692308,0.657894737,0.342105263,0.14516129,0.35483871,0.451612903,0,0,0.112903226,4.769230769
Ele-Txt-WNL Changing India-ele,4.01,1.55,2.67,4.66,5.59,0.53,0.03,0.04,0.7,0.2,0.01,0.19,0.9,0.06,0.36,6.16,12.66,4.7,6.16,0.43,1,0.36,0.43,0.18,2.34,2.08,4.33,2.33,0.21,0.13,0.07,6.26,0.2,0.52,0.08,0.04,0.04,0.08,0.38,0.65,0.01,0.34,0.05,0.12,0.06,0.12,0.17,0.04,0.03,0,0.01,0.02,0.05,0,78.44,1.26,0.23,2.06,1.35,0.27,0.32,0.21,0.41,0.27,10.47,6.88,0.65,1.11,9.36,16.06,1.53,0.03,1.74,4.36,2.04,1.46,0,0.6,30,46.4,2.33,2.29,2.6,0.1,6.33,8.13,11.12,17.88,71.53,6.69,33.63,11.07,4.43,1.43,0,0,6.75,0.88,7.44,7.02,10.52,0.47,51.89,482,1,0.23,0.76,0,0.06,0.03,0.13,0.152173913,0.7,0.043478261,0.666666667,0.041407867,0,0,0.533333333,0.033126294,0.167701863,0.167701863,0.200828157,0.033126294,0.028985507,0.073170732,0,0.926829268,0.105263158,0,0.894736842,0.672413793,0.327586207,0.209302326,0.418604651,0.302325581,0,0,0.348837209,3.583333333
Ele-Txt-WNL Coloring Books-ele,3.99,1.26,2.94,3.97,5.11,0.61,0.04,0.06,1,0.29,0.01,0.27,1.29,0.08,0.3,7.7,25.61,5.16,7.83,0.61,1.9,0.48,0.61,0.26,2.42,2.09,4.3,2.34,0.34,0.14,0.05,9.07,0.2,0.49,0.09,0.03,0.03,0.07,0.36,0.66,0,0.32,0.06,0.12,0.09,0.09,0.2,0.02,0.03,0.02,0.02,0.05,0.04,0,164.54,1.89,0.29,1.64,1.44,0.39,0.13,0.12,0.41,0.36,8.01,7.04,0.87,1.28,10.03,16.8,2.09,0,1.82,4.41,1.97,1.58,0,0.83,31,49.19,2.38,2.13,3.06,0.16,8.2,9.7,11.43,18.01,76.5,6.39,35.76,11.27,4.66,1.35,0,0.06,6.55,0.86,7.06,7.95,9.98,0.43,47.35,521,1.09,0.45,0.64,0.06,0.16,0.12,0.09,0.212328767,1,0.059386973,1,0.059386973,0,0,0.612903226,0.036398467,0.114942529,0.162835249,0.231800766,0.061302682,0.036398467,0.089285714,0.017857143,0.892857143,0,0,1,0.780821918,0.219178082,0.245901639,0.180327869,0.442622951,0,0,0.081967213,3.8125
Ele-Txt-WNL Criminal Links-ele,3.64,1.17,3.06,3.79,5.36,0.84,0.05,0.04,0.72,0.08,0,0.19,0.8,0.05,0.17,4.59,9.19,2.44,4.59,0.52,1.15,0.24,0.52,0.21,2.12,1.97,4.12,2.18,0.28,0.18,0.06,5.93,0.25,0.47,0.12,0.04,0.05,0.09,0.39,0.65,0.01,0.3,0.05,0.11,0.06,0.05,0.17,0.04,0.06,0.01,0.02,0.02,0,0,70.34,1.27,0.24,1.41,0.96,0.19,0.34,0.23,0.27,0.19,9.88,6.74,0.68,1.12,9.11,17,1.72,0,1.88,4.63,1.97,1.48,0,0.48,25,48.6,2.52,2.43,2.84,0.16,7.19,9.06,10.06,18.33,83.39,5.11,32.55,10.26,4.58,1.29,0,0.19,6.82,0.88,7.13,8.1,10.08,0.48,51.25,425,1.2,0.36,0.84,0.12,0.04,0.16,0.04,0.171428571,0.72,0.042253521,0.72,0.042253521,0,0,0.84,0.049295775,0.124413146,0.166666667,0.211267606,0.044600939,0.028169014,0.111111111,0,0.888888889,0,0.047619048,0.952380952,0.627118644,0.372881356,0.176470588,0.235294118,0.441176471,0.029411765,0,0.176470588,3.090909091
Ele-Txt-WNL Cuba-ele,3.75,1.03,2.6,4.32,5.6,1.32,0.07,0.03,0.61,0.17,0.01,0.16,0.79,0.04,0.23,3.17,19.17,2.14,3.17,0.47,1.5,0.32,0.47,0.21,2.08,1.95,4.3,2.19,0.21,0.17,0.08,9.48,0.25,0.47,0.11,0.05,0.04,0.12,0.4,0.64,0,0.3,0.03,0.12,0.05,0.07,0.17,0.01,0.01,0.01,0.02,0.04,0.06,0,180.08,1.95,0.25,2.36,1.91,0.34,0.23,0.19,0.42,0.34,10.31,8.33,0.8,1.35,9.85,19.11,1.85,0,1.99,4.61,2.01,1.67,0.02,0.82,34,55.08,2.29,2.28,3.11,0.41,9.19,10.26,12.66,17.74,70.96,7.49,39.79,12.16,4.73,1.4,0,0,5.22,0.88,8.32,7.42,11.76,0.46,54.25,650,1.41,0.58,0.82,0.08,0.2,0.11,0.17,0.125748503,0.617647059,0.032258065,0.617647059,0.032258065,0,0,1.323529412,0.069124424,0.12749616,0.19047619,0.228878648,0.030721966,0.026113671,0.092592593,0,0.907407407,0,0.066666667,0.933333333,0.662790698,0.337209302,0.131147541,0.491803279,0.344262295,0,0,0.180327869,2.904761905
Ele-Txt-WNL David Bowie-ele,3.57,1.21,2.81,4.3,5.21,1.19,0.07,0.04,0.72,0.48,0.02,0.2,1.21,0.07,0.42,13.19,13.78,5.42,13.27,0.57,0.74,0.29,0.57,0.27,2.2,2.03,4.21,2.38,0.28,0.13,0.03,8.81,0.16,0.61,0.08,0.02,0.03,0.11,0.38,0.63,0,0.38,0.04,0.12,0.08,0.16,0.14,0.01,0.08,0,0.02,0,0,0,155.57,1.57,0.21,2.8,1.68,0.19,0.31,0.19,0.31,0.19,14.04,8.42,0.6,1.08,9.38,18.82,1.34,0,2.04,5.19,2.03,1.95,0,0.44,47,52.85,2.23,2.42,2.42,0.25,7.7,8.88,9.8,18.67,84.51,5.37,33.85,9.84,4.51,1.25,0,0.04,6.98,0.87,9.22,7.2,13.04,0.43,55.83,885,0.95,0.17,0.78,0.06,0.02,0.02,0.06,0.122743682,0.723404255,0.038374718,0.70212766,0.03724605,0,0,1.191489362,0.063205418,0.198645598,0.167042889,0.213318284,0.041760722,0.0248307,0.118644068,0.016949153,0.86440678,0.025,0.025,0.95,0.597938144,0.402061856,0.102272727,0.431818182,0.295454545,0,0.011363636,0.306818182,8
Ele-Txt-WNL David Mitchell-ele,3.84,1.23,2.92,4.33,5.11,1.06,0.06,0.06,1.15,0.31,0.01,0.35,1.46,0.08,0.24,6.12,15.21,3.21,6.15,0.53,1.03,0.31,0.53,0.31,2.75,2.42,4.91,2.68,0.46,0.14,0.06,7.03,0.2,0.46,0.08,0.03,0.03,0.12,0.46,0.57,0.03,0.26,0.07,0.13,0.09,0.06,0.18,0.05,0.05,0,0.01,0.02,0.03,0,99.06,1.25,0.27,1.7,1.52,0.38,0.13,0.11,0.42,0.38,8.88,7.94,0.89,1.56,11.34,18.87,2.12,0,1.73,5.12,1.96,1.68,0,1.03,32,55.25,2.37,2.41,3.71,0.28,6.76,7.42,9.63,18.82,92.01,4.46,32.47,9.57,4.25,1.16,0,0,7.97,0.86,7.16,7.21,10.13,0.41,46.27,604,1.25,0.62,0.62,0.15,0.15,0.15,0.15,0.276119403,1.15625,0.061157025,1.15625,0.061157025,0,0,1.0625,0.056198347,0.125619835,0.173553719,0.218181818,0.036363636,0.024793388,0.063492063,0.031746032,0.904761905,0.03030303,0,0.96969697,0.666666667,0.333333333,0.185185185,0.358024691,0.345679012,0,0,0.148148148,5.785714286
Ele-Txt-WNL Drowning in rubbish-ele,3.49,1.05,2.66,4.27,5.62,1.39,0.08,0.03,0.52,0.39,0.02,0.18,0.91,0.05,0.29,3.21,9.17,2.3,3.43,0.3,1.04,0.3,0.3,0.14,1.97,1.82,3.95,2.06,0.26,0.18,0.05,6.37,0.24,0.5,0.12,0.03,0.04,0.11,0.36,0.66,0,0.33,0.03,0.1,0.06,0.09,0.17,0.02,0,0.02,0,0.05,0.05,0,81.22,1.42,0.25,2.96,1.75,0.16,0.42,0.25,0.27,0.16,12.42,7.32,0.58,1.16,9.34,17.82,1.43,0,2.16,4.47,2,1.43,0,0.47,23,50.43,2.43,2.21,2.82,0.21,8.64,10.19,11.01,18.18,77.01,6.35,38.25,10.94,4.74,1.34,0,0.08,6.25,0.88,7.22,7.12,10.22,0.5,52.95,410,1.08,0.3,0.78,0.17,0.08,0.04,0,0.104347826,0.52173913,0.02919708,0.52173913,0.02919708,0,0,1.391304348,0.077858881,0.121654501,0.158150852,0.187347932,0.02676399,0.01703163,0.051282051,0,0.948717949,0,0,1,0.672413793,0.327586207,0.170212766,0.446808511,0.191489362,0,0,0.127659574,3.615384615
Ele-Txt-WNL EU Pollution-ele,3.69,1.28,2.72,4.44,6.11,1.03,0.05,0.01,0.29,0.06,0,0.05,0.35,0.01,0.17,7.8,20.06,5.54,7.83,0.61,1.67,0.51,0.61,0.2,2.08,1.88,3.86,2.08,0.34,0.13,0.06,6.08,0.19,0.57,0.09,0.04,0.02,0.09,0.35,0.69,0.03,0.39,0.01,0.12,0.02,0.06,0.15,0.05,0.01,0.01,0,0.02,0.02,0,74.12,1.14,0.18,2.45,1.77,0.25,0.16,0.11,0.34,0.25,11.38,8.23,0.72,1.39,10.54,20.19,1.77,0,2.08,5,2.05,2.16,0,0.61,31,57.83,2.45,2.3,3.41,0.29,11.57,12.69,15.31,16.9,57.36,9.65,43.77,14.03,5.13,1.55,0,0,5.95,0.87,7.68,7.95,10.87,0.43,49.74,626,1.12,0.32,0.8,0.06,0.19,0,0.06,0.043269231,0.290322581,0.014354067,0.290322581,0.014354067,0,0,1.032258065,0.051036683,0.124401914,0.164274322,0.199362041,0.051036683,0.038277512,0.06122449,0.040816327,0.897959184,0.068965517,0.137931034,0.793103448,0.628205128,0.371794872,0.425,0.325,0.225,0,0,0.15,2.666666667
Ele-Txt-WNL Experience-ele,3.98,1.14,2.8,3.88,4.91,0.56,0.04,0.13,1.77,0.27,0.02,0.86,2.04,0.15,0.07,13,22.52,1.85,13,0.6,1.1,0.12,0.6,0.21,2.89,2.59,4.89,2.81,0.27,0.14,0.11,11.08,0.26,0.32,0.08,0.06,0.05,0.08,0.5,0.56,0,0.18,0.13,0.12,0.16,0.01,0.22,0.02,0.11,0.01,0.01,0.03,0.01,0,245.97,1.83,0.39,1.03,0.78,0.36,0.12,0.09,0.35,0.26,7.19,5.47,0.76,1.16,9,14.83,2.06,0,1.52,4.22,1.96,1.25,0,0.72,48,44.6,2.7,2.19,3.16,0.18,4.37,5.98,8.03,18.94,93.46,3.47,28.05,8.59,4.08,1.18,0,0.02,6.93,0.85,7.28,6.64,10.3,0.38,45.34,712,1.18,0.7,0.47,0.14,0.25,0.12,0.18,0.752212389,1.770833333,0.119214586,1.75,0.117812062,0,0,0.5625,0.037868163,0.036465638,0.173913043,0.225806452,0.065918654,0.043478261,0.202898551,0,0.797101449,0.037037037,0,0.962962963,0.705263158,0.294736842,0.080645161,0.14516129,0.64516129,0,0.008064516,0,7.75
